,sig
FILING_STATUS_MarriedFilingSeparately AMOUNT_TOTAL_PAYMENTS> 0.5 <1855.5 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.597224632285
FILING_STATUS_MarriedFilingSeparately REQUIRED_TAKE_FLAG VAUTH_DEVICE_TYPE_-1,0.596392176533
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 REQUIRED_TAKE_FLAG FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow,0.591953471189
FILING_STATUS_MarriedFilingSeparately AMOUNT_REFUND<=0.5 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.578864472882
REJECT_COUNT_2.0 REQUIRED_TAKE_FLAG AMOUNT_TOTAL_PAYMENTS> 0.5 <1855.5,0.57491542014
DMA_AREA_New Orleans FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow IMPORT_TYPE_Manual,0.56115203977
REJECT_COUNT_2.0 AGI<=1217.5 COST_PER_CUST>=12.4691162109375,0.550472077508
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 STATE_ATTACH_COUNT<=0.5 VAUTH_DEVICE_TYPE_-1,0.548335928753
FILING_STATUS_MarriedFilingSeparately REJECT_COUNT_2.0 COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906,0.544652552138
REJECT_COUNT_1.0 AMOUNT_REFUND<=0.5 COST_PER_CUST>=12.4691162109375,0.54214031305
REJECT_COUNT_2.0 AGI<=1217.5 AMOUNT_REFUND<=0.5,0.540385730236
REJECT_COUNT_3.0 STATE_ATTACH_COUNT<=0.5 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.537985328093
REJECT_COUNT_-1 REQUIRED_TAKE_FLAG FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow,0.537084784825
REJECT_COUNT_-1 AMOUNT_REFUND<=0.5 COST_PER_CUST>=12.4691162109375,0.521367483168
REJECT_COUNT_2.0 REQUIRED_TAKE_FLAG FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow,0.515030725687
REJECT_COUNT_-1 FILING_STATUS_MarriedFilingSeparately AGI<=1217.5,0.504848631685
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 COST_PER_CUST>=12.4691162109375 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow,0.501798978925
REJECT_COUNT_1.0 STATE_ATTACH_COUNT<=0.5 AMOUNT_REFUND<=110.5,0.498859053233
REJECT_COUNT_3.0 VAUTH_DEVICE_TYPE_-1 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.498504502921
REJECT_COUNT_2.0 REQUIRED_TAKE_FLAG COST_PER_CUST>=12.4691162109375,0.492032836434
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 AGI<=1217.5 AMOUNT_REFUND<=0.5,0.486557657166
AMOUNT_REFUND<=0.5 STATE_ATTACH_COUNT<=0.5 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow,0.483656914294
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 AGI<=1217.5 VAUTH_DEVICE_TYPE_-1,0.479882821195
FILING_STATUS_MarriedFilingSeparately COST_PER_CUST>=12.4691162109375 IMPORT_TYPE_Manual,0.478216147054
FILING_STATUS_MarriedFilingSeparately COST_PER_CUST>=12.4691162109375 AMOUNT_TOTAL_PAYMENTS> 0.5 <1855.5,0.474515573633
REJECT_COUNT_2.0 REQUIRED_TAKE_FLAG FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.474308719358
REQUIRED_TAKE_FLAG AMOUNT_REFUND<=0.5 IMPORT_TYPE_Manual,0.46867197456
DMA_AREA_New Orleans AMOUNT_TOTAL_PAYMENTS> 0.5 <1855.5 AMOUNT_REFUND<=110.5,0.456638424391
AGI<=1217.5 REQUIRED_TAKE_FLAG FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.451869453754
REJECT_COUNT_2.0 REQUIRED_TAKE_FLAG VAUTH_DEVICE_TYPE_-1,0.448278644717
VAUTH_DEVICE_TYPE_-1 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow AMOUNT_REFUND<=110.5,0.446574354732
REJECT_COUNT_1.0 COST_PER_CUST>=12.4691162109375 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow,0.444848420388
REJECT_COUNT_1.0 AMOUNT_TOTAL_PAYMENTS> 0.5 <1855.5 AMOUNT_REFUND<=110.5,0.442041825824
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 DMA_AREA_New Orleans AMOUNT_REFUND<=0.5,0.441823504918
AMOUNT_TOTAL_PAYMENTS> 0.5 <1855.5 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow IMPORT_TYPE_Manual,0.440451244404
REJECT_COUNT_1.0 AGI<=1217.5 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Live Community_Live Community_Non-CU Flow,0.428564837189
REJECT_COUNT_-1 REQUIRED_TAKE_FLAG AMOUNT_TOTAL_PAYMENTS> 0.5 <1855.5,0.426066848814
FILING_STATUS_MarriedFilingSeparately REJECT_COUNT_2.0 AMOUNT_REFUND<=110.5,0.421906998473
REJECT_COUNT_1.0 COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 AMOUNT_TOTAL_PAYMENTS> 0.5 <1855.5,0.420837412261
FILING_STATUS_MarriedFilingSeparately REJECT_COUNT_1.0 COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906,0.420787767061
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.6623878479003906 REQUIRED_TAKE_FLAG AMOUNT_REFUND<=0.5,0.419009626114
FILING_STATUS_MarriedFilingSeparately AGI<=1217.5 VAUTH_DEVICE_TYPE_-1,0.418912379748
REJECT_COUNT_3.0 AGI<=1217.5 AMOUNT_REFUND<=0.5,0.417787409697
REJECT_COUNT_-1 COST_PER_CUST>=12.4691162109375 IMPORT_TYPE_Manual,0.417298871795
