,sig
TOTAL_REVENUE_pcl_'between 7.5 and 29.994998931884766' FIRST_COMPLETE_APP_TYPE_Mobile Web VAUTH_DEVICE_TYPE_-1,1.27770954238
START_SKU_200|Free TTO REJECT_COUNT_2.0 VAUTH_DEVICE_TYPE_-1,1.16727022772
START_SKU_200|Free TTO FIRST_COMPLETE_APP_TYPE_Mobile Web IMPORT_TYPE_-1,0.831680257825
TOTAL_REVENUE_pcl_'between 7.5 and 29.994998931884766' PRS_SCORE_5.0 NEAUTH_DEVICE_TYPE_Phone,0.823015294914
START_SKU_200|Free TTO DMA_AREA_-1 PRS_SCORE_5.0,0.784791768352
TOTAL_REVENUE_pcl_'between 7.5 and 29.994998931884766' DMA_AREA_-1 VAUTH_DEVICE_TYPE_-1,0.739801421549
START_SKU_200|Free TTO FLAG_ITEMIZED_DEDUCTIONS_0.0 DMA_AREA_-1,0.73568691274
REJECT_COUNT_2.0 PRS_SCORE_-1 IMPORT_TYPE_-1,0.735391960488
FLAG_ITEMIZED_DEDUCTIONS_0.0 REJECT_COUNT_2.0 NEAUTH_DEVICE_TYPE_Phone,0.658662548625
REJECT_COUNT_1.0 FIRST_COMPLETE_APP_TYPE_Mobile Web IMPORT_TYPE_-1,0.640361030376
PRS_SCORE_5.0 FIRST_COMPLETE_APP_TYPE_Mobile Web IMPORT_TYPE_Manual,0.637152344939
DMA_AREA_-1 PRS_SCORE_5.0 VAUTH_DEVICE_TYPE_-1,0.63396824181
START_SKU_200|Free TTO VAUTH_DEVICE_TYPE_-1 NEAUTH_DEVICE_TYPE_Phone,0.620823202094
REJECT_COUNT_1.0 TOTAL_REVENUE_pcl_'between 7.5 and 29.994998931884766' IMPORT_TYPE_Manual,0.613905690872
PRS_SCORE_5.0 NEAUTH_DEVICE_TYPE_Phone TOTAL_REVENUE_pcl_'<=7.5',0.605415660438
FIRST_COMPLETE_APP_TYPE_Mobile Web VAUTH_DEVICE_TYPE_-1 NEAUTH_DEVICE_TYPE_Phone,0.600895907924
REJECT_COUNT_1.0 DMA_AREA_-1 PRS_SCORE_5.0,0.548886058013
START_SKU_200|Free TTO FLAG_ITEMIZED_DEDUCTIONS_0.0 REJECT_COUNT_2.0,0.547886904725
FLAG_ITEMIZED_DEDUCTIONS_0.0 FIRST_COMPLETE_APP_TYPE_Mobile Web IMPORT_TYPE_Manual,0.541658341863
REJECT_COUNT_1.0 START_SKU_200|Free TTO TOTAL_REVENUE_pcl_'between 7.5 and 29.994998931884766',0.488998897868
